Lagrange Point,X (in 1e9 km),Y (in 1e9 km),Stability
L1,727.2979800351156,0,
L2,834.2214601529249,0,
L3,-783.3440958825038,0,
L4,398.6630666379343,675.5019899267185,
L5,398.6630666379343,-675.5019899267185,
